,Unnamed: 0,fzf,Unnamed: 0.1,fzr,Unnamed: 0.2,steer_angle,Unnamed: 0.3,r,Unnamed: 0.4,psi,Unnamed: 0.5,wheel_angle,Unnamed: 0.6,vx,Unnamed: 0.7,vy,sideslip_f,sideslip_r,fyft,fyrt,fyf,fyr,beta
0,fzf1,5239.64999961591,fzr1,4576.8147887919,ans1,0.0,r1,0.0,psi1,0.0,wheel_angle1,0.0,xdot1,10.0,ydot1,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0
1,fzf2,5239.64999961591,fzr2,4576.8147887919,ans2,0.0,r2,0.0,psi2,0.0,wheel_angle2,0.0,xdot2,10.0,ydot2,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0
2,fzf3,5239.64999961591,fzr3,4576.8147887919,ans3,0.0,r3,0.0,psi3,0.0,wheel_angle3,0.0,xdot3,10.0,ydot3,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0
3,fzf4,5239.64999961591,fzr4,4576.8147887919,ans4,0.0,r4,0.0,psi4,0.0,wheel_angle4,0.0,xdot4,10.0,ydot4,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0
4,fzf5,5239.64999961591,fzr5,4576.8147887919,ans5,0.0,r5,0.0,psi5,0.0,wheel_angle5,0.0,xdot5,10.0,ydot5,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0
5,fzf6,5239.64999961591,fzr6,4576.8147887919,ans6,0.0,r6,0.0,psi6,0.0,wheel_angle6,0.0,xdot6,10.0,ydot6,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0
6,fzf7,5239.64999961591,fzr7,4576.8147887919,ans7,0.0,r7,0.0,psi7,0.0,wheel_angle7,0.0,xdot7,10.0,ydot7,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0
7,fzf8,5239.64999961591,fzr8,4576.8147887919,ans8,0.0,r8,0.0,psi8,0.0,wheel_angle8,0.0,xdot8,10.0,ydot8,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0
8,fzf9,5239.64999961591,fzr9,4576.8147887919,ans9,0.0,r9,0.0,psi9,0.0,wheel_angle9,0.0,xdot9,10.0,ydot9,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0
9,fzf10,5239.64999961591,fzr10,4576.8147887919,ans10,0.0,r10,0.0,psi10,0.0,wheel_angle10,0.0,xdot10,10.0,ydot10,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0
10,fzf11,5239.64999961591,fzr11,4576.8147887919,ans11,0.0,r11,0.0,psi11,0.0,wheel_angle11,0.0,xdot11,10.0,ydot11,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0
11,fzf12,5239.64999961591,fzr12,4576.8147887919,ans12,0.0,r12,0.0,psi12,0.0,wheel_angle12,0.0,xdot12,10.0,ydot12,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0
12,fzf13,5239.64999961591,fzr13,4576.8147887919,ans13,0.0,r13,0.0,psi13,0.0,wheel_angle13,0.0,xdot13,10.0,ydot13,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0
13,fzf14,5239.64999961591,fzr14,4576.8147887919,ans14,0.0,r14,0.0,psi14,0.0,wheel_angle14,0.0,xdot14,10.0,ydot14,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0
14,fzf15,5239.64999961591,fzr15,4576.8147887919,ans15,0.0,r15,0.0,psi15,0.0,wheel_angle15,0.0,xdot15,10.0,ydot15,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0
15,fzf16,5239.64999961591,fzr16,4576.8147887919,ans16,0.0,r16,0.0,psi16,0.0,wheel_angle16,0.0,xdot16,10.0,ydot16,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0
16,fzf17,5239.64999961591,fzr17,4576.8147887919,ans17,0.0,r17,0.0,psi17,0.0,wheel_angle17,0.0,xdot17,10.0,ydot17,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0
