,Unnamed: 0,fzf,Unnamed: 0.1,fzr,Unnamed: 0.2,steer_angle,Unnamed: 0.3,r,Unnamed: 0.4,psi,Unnamed: 0.5,wheel_angle,Unnamed: 0.6,vx,Unnamed: 0.7,vy,sideslip_f,sideslip_r,fyft,fyrt,fyf,fyr,beta
0,fzf1,5246.99399924718,fzr1,4575.67698603213,ans1,-0.01,r1,0.0,psi1,0.0,wheel_angle1,-0.0007407407407407,xdot1,14.0,ydot1,0.0,0.0007407407407407,0.0,-6.529592532396132,0.0,-6.529590741012803,0.0,0.0
1,fzf2,5246.99399991171,fzr2,4575.6769853681,ans2,-0.01,r2,-6.4686923758139e-05,psi2,-3.24445807740018e-07,wheel_angle2,-0.0007407407407407,xdot2,14.0,ydot2,-8.79761845098423e-05,0.0007279880353211125,-1.3676804298775704e-05,-6.4171780736068165,-0.09637418354146889,-6.417176373161935,-0.09637418353245525,-6.2840131791917335e-06
2,fzf3,5246.99400172517,fzr3,4575.67698355591,ans3,-0.01,r3,-0.0001281740988415,psi3,-1.28973938790499e-06,wheel_angle3,-0.0007407407407407,xdot3,14.0,ydot3,-0.0001655713138634,0.000716096809415569,-2.647498964545316e-05,-6.312357514945479,-0.18655714117129482,-6.3123558964739965,-0.18655714110591354,-1.1826522418262907e-05
3,fzf4,5246.99400443207,fzr4,4575.67698085075,ans4,-0.01,r4,-0.0001904884571172,psi4,-2.88401846835878e-06,wheel_angle4,-0.0007407407407407,xdot4,14.0,ydot4,-0.0002331180656037,0.0007050406076013698,-3.842139607952338e-05,-6.214897652822093,-0.27073800232436546,-6.214896108164476,-0.27073800212453325,-1.665129039872534e-05
4,fzf5,5246.99400779563,fzr5,4575.67697748915,ans5,-0.01,r5,-0.0002516562725847,psi5,-5.09568679223414e-06,wheel_angle5,-0.0007407407407407,xdot5,14.0,ydot5,-0.0002909400533298,0.0006947936874388828,-4.954214130315727e-05,-6.12457156860536,-0.34910080647961134,-6.124570090322883,-0.3491008060511907,-2.0781432377708388e-05
5,fzf6,5246.99401159666,fzr6,4575.6769736901,ans6,-0.01,r6,-0.0003117031779468,psi6,-7.91340762258366e-06,wheel_angle6,-0.0007407407407407,xdot6,14.0,ydot6,-0.0003393520631169,0.0006853310009808265,-5.98626394012517e-05,-6.041158465621341,-0.42182463506663653,-6.041157046920029,-0.42182463431082473,-2.4239433075031277e-05
6,fzf7,5246.99401563255,fzr7,4575.67696965602,ans7,-0.01,r7,-0.0003706541807599,psi7,-1.13260974104711e-05,wheel_angle7,-0.0007407407407407,xdot7,14.0,ydot7,-0.0003786602838566,0.0006766281767493699,-6.940761908852579e-05,-5.964443510276676,-0.48908374004031857,-5.964442144938997,-0.48908373886225825,-2.7047163126018844e-05
7,fzf8,5246.99401971631,fzr8,4575.67696557382,ans8,-0.01,r8,-0.0004285336791726,psi8,-1.53229196225382e-05,wheel_angle8,-0.0007407407407407,xdot8,14.0,ydot8,-0.0004091625316661,0.000668661502170579,-7.820114149418084e-05,-5.894217677213967,-0.5510476691974135,-5.894216359537475,-0.5510476675124699,-2.9225895110686014e-05
8,fzf9,5246.9940236756,fzr9,4575.67696161572,ans9,-0.01,r9,-0.0004853654772642,psi9,-1.9893278723948e-05,wheel_angle9,-0.0007407407407407,xdot9,14.0,ydot9,-0.0004311484685201,0.0006614079064550229,-8.626661749539728e-05,-5.830277598400576,-0.6078813883145157,-5.830276323142782,-0.6078813860526106,-3.079631917027127e-05
9,fzf10,5246.99402735189,fzr10,4575.67695794022,ans10,-0.01,r10,-0.000541172799992,psi10,-2.50268143127503e-05,wheel_angle10,-0.0007407407407407,xdot10,14.0,ydot10,-0.0004448998152542,0.0006548449439138682,-9.362682461039409e-05,-5.772425416056851,-0.6597454001829315,-5.772424178385676,-0.6597453972912732,-3.177855822174538e-05
10,fzf11,5246.9940305996,fzr11,4575.67695469284,ans11,-0.01,r11,-0.0005959783077599,psi11,-3.0713395401817e-05,wheel_angle11,-0.0007407407407407,xdot11,14.0,ydot11,-0.0004506905590818,0.0006489507776998243,-0.00010030392346180098,-5.720468639329829,-0.7067958606161332,-5.72046743477905,-0.7067958570606401,-3.21921827804365e-05
