,Unnamed: 0,fzf,Unnamed: 0.1,fzr,Unnamed: 0.2,steer_angle,Unnamed: 0.3,r,Unnamed: 0.4,psi,Unnamed: 0.5,wheel_angle,Unnamed: 0.6,vx,Unnamed: 0.7,vy,sideslip_f,sideslip_r,fyft,fyrt,fyf,fyr,beta
0,fzf1,5246.99399924718,fzr1,4575.67698603213,ans1,-0.1,r1,0.0,psi1,0.0,wheel_angle1,-0.0074074074074074,xdot1,14.0,ydot1,0.0,0.0074074074074074,0.0,-65.29592532396484,0.0,-65.29413394874507,0.0,0.0
1,fzf2,5246.99406570391,fzr2,4575.67691962544,ans2,-0.1,r2,-0.0006468866556036,psi2,-3.24454568735999e-06,wheel_angle2,-0.0074074074074074,xdot2,14.0,ydot2,-0.0008797855307566,0.00727987705373304,-0.00013677155996668524,-64.17175245598541,-0.9637666041091217,-64.17005202082889,-0.9637665950947912,-6.284182354274866e-05
2,fzf3,5246.9942470596,fzr3,4575.67673839695,ans3,-0.1,r3,-0.0012817752244431,psi3,-1.28977402399337e-05,wheel_angle3,-0.0074074074074074,xdot3,14.0,ydot3,-0.0016557573383072,0.007160962481560118,-0.00026475576590993723,-63.12352862618136,-1.8656126711230747,-63.12191016527625,-1.865612605737441,-0.00011826838075623438
3,fzf4,5246.99451776389,fzr4,4575.67646786676,ans4,-0.1,r4,-0.0019049350697407,psi4,-2.88409551627768e-05,wheel_angle4,-0.0074074074074074,xdot4,14.0,ydot4,-0.0023312423753736,0.00705039956075284,-0.0003842204718452915,-62.148925176769346,-2.707425600102551,-62.14738052961855,-2.707425400260199,-0.0001665173109876209
4,fzf5,5246.99485413672,fzr5,4575.67613168984,ans5,-0.1,r5,-0.0025166289715022,psi5,-5.095822253617e-05,wheel_angle5,-0.0074074074074074,xdot5,14.0,ydot5,-0.0029094769408589,0.00694793106646418,-0.0004954265763248461,-61.24567436842546,-3.4910438028533957,-61.244196095305064,-3.4910433744194305,-0.00020781977849807442
5,fzf6,5246.99523425898,fzr6,4575.67575176485,ans6,-0.1,r6,-0.0031171132926992,psi6,-7.9136170019703e-05,wheel_angle6,-0.0074074074074074,xdot6,14.0,ydot6,-0.0033936090453769,0.0068533065470974056,-0.0005986281494468207,-60.411568209780405,-4.218257593931431,-60.41014951578544,-4.218256838113208,-0.0002424006413506852
6,fzf7,5246.99563786921,fzr7,4575.67534833709,ans7,-0.1,r7,-0.0037066381411771,psi7,-0.0001132639574927,wheel_angle7,-0.0074074074074074,xdot7,14.0,ydot7,-0.0037867007159593,0.006766282188510645,-0.0006940725644372785,-59.64445725454858,-4.890810113501253,-59.64309192134914,-4.890808935459877,-0.00027047861597256825
7,fzf8,5246.99604626574,fzr8,4575.67494009592,ans8,-0.1,r8,-0.004285447527383,psi8,-0.0001532332152969,wheel_angle8,-0.0074074074074074,xdot8,14.0,ydot8,-0.0040917302412219,0.006686620675424476,-0.000782000632759809,-58.942249374676045,-5.5103982756256435,-58.940931699193015,-5.510396590752605,-0.00029226643747979643
8,fzf9,5246.99644221428,fzr9,4575.67454426682,ans9,-0.1,r9,-0.0048537795180422,psi9,-0.0001989379840331,wheel_angle9,-0.0074074074074074,xdot9,14.0,ydot9,-0.0043115943587392,0.006614091050843856,-0.000862646741865392,-58.30290851659515,-6.078673735670204,-58.301633255883374,-6.078671473919241,-0.00030797101588760686
9,fzf10,5246.99680986041,fzr10,4575.67417669858,ans10,-0.1,r10,-0.0054118663858863,psi10,-0.0002502746558767,wheel_angle10,-0.0074074074074074,xdot10,14.0,ydot10,-0.0044491103860212,0.006548468574232115,-0.0009362389947745551,-57.72445344702465,-6.597243871076579,-57.72321576872254,-6.597240979691321,-0.0003177935883032295
