,fzf,fzr,steer_angle,vx,vy,r,psi,wheel_angle,sideslip_f,sideslip_r,fyft,fyft,fyf,fyr,beta
0,5291.97599698873,4568.70794412851,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0
1,5291.97599698891,4568.70794412832,0.0003315190511499,28.0,1.45358743053743e-06,1.08819115061373e-06,3.630157526943729e-09,2.45569667517986e-05,-2.445064335746332e-05,1.1409618826816179e-07,0.2173789258345021,0.2173789258345021,0.2173789257695238,0.0008027591290726,5.191383680490818e-08
2,5291.97599699146,4568.70794412578,0.0006630324092188,28.0,5.39445540651012e-06,4.33914587304289e-06,2.89729974849276e-08,4.91135117940411e-05,-4.870389537874584e-05,4.4061031438402965e-07,0.4330029401112345,0.4330029401112345,0.433002939597678,0.0031000505591284,1.926591216610733e-07
3,5291.97599700145,4568.70794411579,0.0009945343812235,28.0,1.12007985855802e-05,9.7326876808167e-06,9.75549951816648e-08,7.36692134238881e-05,-7.278255051911586e-05,9.561821024460693e-07,0.647074697384147,0.647074697384147,0.6470746956702728,0.0067275158218956,4.000285209135572e-07
4,5291.9759970255,4568.70794409175,0.0013260192743762,28.0,1.82613827076945e-05,1.72489705793706e-05,2.30702518662646e-07,9.82236499538214e-05,-9.670900918620044e-05,1.6378477000906436e-06,0.8597933489199453,0.8597933489199453,0.8597933448992797,0.0115235856098539,6.521922395604255e-07
5,5291.9759970702,4568.70794404708,0.0016574813961826,28.0,2.59753675550421e-05,2.68684729269024e-05,4.49545102861787e-07,0.0001227763997171,-0.0001205052843754,2.463033004598209e-06,1.07135460169055,1.07135460169055,1.0713545939116995,0.0173294328199667,9.276916983940946e-07
6,5291.9759971407,4568.70794397661,0.0019889150545393,28.0,3.37521330575334e-05,3.85719914041004e-05,7.75018662887783e-07,0.000147327041077,-0.0001441930081913,3.4095471076451444e-06,1.281950776351005,1.281950776351005,1.281950763024086,0.0239889264321942,1.2054333234827518e-06
7,5291.97599723929,4568.70794387806,0.0023203145578317,28.0,4.10111084819329e-05,5.23406350908824e-05,1.22786864754436e-06,0.0001718751524319,-0.0001677934382493,4.455575856432365e-06,1.491770864152433,1.491770864152433,1.491770843152299,0.0313485862068329,1.4646824457822706e-06
8,5291.97599736406,4568.70794375332,0.0026516742150318,28.0,4.7181604644889e-05,6.81558196482167e-05,1.82865313414482e-06,0.0001964203122245,-0.0001913274639678,5.579675528961995e-06,1.7010005828835122,1.7010005828835122,1.7010005517499298,0.0392575381850002,1.6850573087444409e-06
9,5291.97599750768,4568.70794360973,0.0029829883357959,28.0,5.17026490914765e-05,8.59992616031773e-05,2.59774586566264e-06,0.0002209620989477,-0.0002148156127463,6.760766621262548e-06,1.9098224317935573,1.9098224317935573,1.909822387728466,0.0475674709767916,1.846523181836348e-06
10,5291.97599765611,4568.70794346132,0.003314251230562,28.0,5.4022824182141e-05,0.0001058529727354,3.55533923124102e-06,0.0002455000911527,-0.0002382780560364,7.978127744391117e-06,2.1184157455658084,2.1184157455658084,2.118415685427765,0.0561325928218267,1.929386577931213e-06
11,5291.97599778749,4568.70794332993,0.0036454572106482,28.0,5.3600108032164e-05,0.0001276992545632,4.72144719106686e-06,0.0002700338674554,-0.000261734615304,9.211389629077708e-06,2.326956747325008,2.326956747325008,2.326956667620912,0.0648095894071608,1.914289572574948e-06
12,5291.97599787105,4568.70794324634,0.0039766005883497,28.0,4.99017182489986e-05,0.0001515206929275,6.11590814659648e-06,0.0002945630065444,-0.000285204767889,1.0440529235906725e-05,2.5356186007271404,2.5356186007271404,2.535618497601302,0.0734575824277417,1.7822042231766346e-06
13,5291.97599786599,4568.70794325136,0.0043076756770368,28.0,4.24039584139073e-05,0.0001773001526722,7.75838775710339e-06,0.0003190870871879,-0.0003087076527603,1.1645863968993512e-05,2.7445714611253216,2.7445714611253216,2.744571330345923,0.0819380888750383,1.5144270862098171e-06
14,5291.97599772053,4568.70794339676,0.0046386767912526,28.0,3.05920672556627e-05,0.0002050207724183,9.66838170350104e-06,0.0003436056882408,-0.0003322620761707,1.280804599108661e-05,2.9539825258416275,2.9539825258416275,2.9539823627846187,0.0901149810392658,1.0925738305589476e-06
15,5291.97599737094,4568.70794374631,0.0049695982468105,28.0,1.39600704650011e-05,0.0002346659594317,1.18652184003769e-05,0.0003681183886525,-0.000355886517214,1.3908056638212844e-05,3.164016083565899,3.164016083565899,3.164015883196335,0.0978544472119538,4.985739451785694e-07
16,5291.97599674059,4568.70794437665,0.0053004343608918,28.0,-7.98936489609558e-06,0.0002662193845817,1.43680616571577e-05,0.0003926247674734,-0.0003795991332824,1.4927200932016058e-05,3.374833562879884,3.374833562879884,3.374833319730718,0.1050249530758278,-2.853344605748344e-07
17,5291.97599573914,4568.70794537817,0.0056311794521434,28.0,-3.57450730886541e-05,0.000299664977389,1.71959132893099e-05,0.0004171244038624,-0.000403417765419,1.5847102200464396e-05,3.586593579832136,3.586593579832136,3.586593287980452,0.1114972038571014,-1.2766097531655243e-06
18,5291.97599426168,4568.70794685587,0.0059618278407752,28.0,-6.97875297000297e-05,0.0003349869211617,2.03676156804615e-05,0.0004416168770944,-0.0004273599435686,1.6649696799482764e-05,3.79945198462064,3.79945198462064,3.7994516376612975,0.1171441071877911,-2.4924117749959e-06
19,5291.97599218791,4568.70794893011,0.006292373848658,28.0,-0.000110588989784,0.0003721696482177,2.3901854296316e-05,0.0004661017665672,-0.0004514428917574,1.7317228905854585e-05,4.013561907641274,4.013561907641274,4.013561498657949,0.1218407364693857,-3.949606777979463e-06
