,Unnamed: 0,fzf,Unnamed: 0.6,fzr,Unnamed: 0.7,steer_angle,Unnamed: 0.1,vx,Unnamed: 0.2,vy,Unnamed: 0.3,r,Unnamed: 0.4,psi,Unnamed: 0.5,wheel_angle,sideslip_f,sideslip_r,fyft,fyrt,fyf,fyr,beta
22,fzf23,5291.97598094026,fzr23,4568.70796018198,ans23,0.0072833408334756,xdot23,28.0,ydot23,-0.0002781494614733,r23,0.000494730489446,psi23,3.68643398533781e-05,wheel_angle23,0.0005395067284055,-0.0005247041141191696,1.8336402733141624e-05,4.664892235952227,0.1290114504571304,4.664891593796221,0.12901145043544204,-9.933909338005375e-06
23,fzf24,5291.97597494598,fzr24,4568.70796617919,ans24,0.0076134205736935,xdot24,28.0,ydot24,-0.0003505497664486,r24,0.0005392054905047,psi24,4.20325250254139e-05,wheel_angle24,0.0005639570795328,-0.000549516440310549,1.8292106199026407e-05,4.8854867039349195,0.12869978861691903,4.885485966303836,0.12869978859538747,-1.2519634515367313e-05
24,fzf25,5291.97596749876,fzr25,4568.70797363053,ans25,0.0079433695708371,xdot25,28.0,ydot25,-0.0004319517001649,r25,0.0005854670102244,psi25,4.76544047009767e-05,wheel_angle25,0.0005883977459879,-0.0005745512426049102,1.802840976132377e-05,5.108059098175714,0.12684447071979513,5.108058255067263,0.1268444706991814,-1.5426846433236914e-05
25,fzf26,5291.97595837171,fzr26,4568.70798276319,ans26,0.0082731821587872,xdot26,28.0,ydot26,-0.0005227809565602,r26,0.0006335008793015,psi26,5.37477730368636e-05,wheel_angle26,0.0006128283080583,-0.0005998240131165221,1.7529300389591156e-05,5.332747151200008,0.12333283211815564,5.332746191868564,0.12333283209920701,-1.867074844640905e-05
26,fzf27,5291.97594731809,fzr27,4568.70799382427,ans27,0.0086028526737676,xdot27,28.0,ydot27,-0.000623455908302,r27,0.0006832931462931,psi27,6.03302835896192e-05,wheel_angle27,0.0006372483462049,-0.00062534997176981,1.6779038971448647e-05,5.559686175559961,0.11805413539542142,5.559685088467367,0.11805413537880317,-2.2266282435677364e-05
27,fzf28,5291.9759340708,fzr28,4568.7080070813,ans28,0.0089323754544415,xdot28,28.0,ydot28,-0.0007343877263189,r28,0.0007348300734779,psi28,6.74194514733856e-05,wheel_angle28,0.0006616574410697,-0.000651144070782306,1.5762155806813776e-05,5.789009103683998,0.11089953866291778,5.789007876447106,0.11089953864914154,-2.6228133076803612e-05
28,fzf29,5291.97591834184,fzr29,4568.70802282276,ans29,0.0092617448420095,xdot29,28.0,ydot29,-0.0008559804972178,r29,0.0007880981327908,psi29,7.50326554767311e-05,wheel_angle29,0.0006860551734822,-0.0006772209990663271,1.4463446182427114e-05,6.0208465270034,0.10176206442143275,6.020845146338204,0.10176206441078887,-3.057073203396937e-05
29,fzf30,5291.97589982192,fzr30,4568.7080413585,ans30,0.0095909551803059,xdot30,28.0,ydot30,-0.0009886313386244,r30,0.0008430840018296,psi30,8.31871401391849e-05,wheel_angle30,0.0007104411244671,-0.0007035951865531967,1.286796602541611e-05,6.255326734389977,0.09053656897861968,6.255325186052219,0.09053656897112394,-3.530826207905595e-05
30,fzf31,5291.97587817997,fzr31,4568.70806302021,ans31,0.0099200008158968,xdot31,28.0,ydot31,-0.0011327305124829,r31,0.0008997745599324,psi31,9.1900017788195e-05,wheel_angle31,0.0007348148752516,-0.0007302808084394425,1.0961027634740025e-05,6.492575749899618,0.0771197124140891,6.492574018621717,0.07711971240945636,-4.0454661138034485e-05
31,fzf32,5291.97585306277,fzr32,4568.70808816182,ans32,0.0102488760981764,xdot32,28.0,ydot32,-0.0012886615363518,r32,0.0009581568843254,psi32,0.0001011882705372,wheel_angle32,0.0007591760072723,-0.0007572917893560568,8.728195489405491e-06,6.732717369831515,0.061409929084356746,6.732715439255689,0.061409929082017596,-4.602362626578321e-05
32,fzf33,5291.97582409455,fzr33,4568.70811715988,ans33,0.0105775753794643,xdot33,28.0,ydot33,-0.0014568012927308,r33,0.0010182182463386,psi33,0.0001110687522455,wheel_angle33,0.0007835241021825,-0.0007846418074627337,6.155282132303475e-06,6.975873199119952,0.04330739865954666,6.975871051727368,0.04330739865872625,-5.2028617550581816e-05
33,fzf34,5291.97579087662,fzr34,4568.70815041397,ans34,0.0109060930151026,xdot34,28.0,ydot34,-0.0016375201364545,r34,0.0010799461076893,psi34,0.000121558190441,wheel_angle34,0.0008078587418594,-0.0008123442984675817,3.2283441286492013e-06,7.222162687063117,0.022714017684667066,7.2221603040988995,0.022714017684548702,-5.84828619495569e-05
34,fzf35,5291.97575298703,fzr35,4568.70818834698,ans35,0.0112344233635528,xdot35,28.0,ydot35,-0.0018311820001862,r35,0.0011433281168313,psi35,0.0001326731882049,wheel_angle35,0.0008321795084113,-0.0008404124595734072,-6.632190200421008e-08,7.471703162398715,-0.00046662834180020605,7.471700523792667,-0.000466628341800205,-6.53993570562678e-05
35,fzf36,5291.97570998029,fzr36,4568.7082314055,ans36,0.0115625607864925,xdot36,28.0,ydot36,-0.0020381444980462,r36,0.0012083521053689,psi36,0.0001444302260223,wheel_angle36,0.0008564859841846,-0.0008688592533513274,-3.742183181160466e-06,7.724609867733084,-0.02632929237892036,7.724606952015923,-0.026329292378736005,-7.279087480166035e-05
36,fzf37,5291.97566138702,fzr37,4568.70828006005,ans37,0.0118904996489126,xdot37,28.0,ydot37,-0.0022587590274074,r37,0.0012750060845357,psi37,0.0001568456635948,wheel_angle37,0.0008807777517713,-0.0008976974115432514,-7.812474595040624e-06,7.980995993337383,-0.05496709274998616,7.980992777552319,-0.05496709274830871,-8.066996508955956e-05
37,fzf38,5291.97560671372,fzr38,4568.70833480542,ans38,0.0122182343192134,xdot38,28.0,ydot38,-0.0024933708688908,r38,0.0013432782417344,psi38,0.0001699357416205,wheel_angle38,0.0009050543940158,-0.000926939438793038,-1.229020244756029e-05,8.240972710309352,-0.08647153955226658,8.240969169918822,-0.08647153954573586,-8.904895936786517e-05
38,fzf39,5291.97554544249,fzr39,4568.70839616092,ans39,0.0125457591693022,xdot39,28.0,ydot39,-0.0027423192845931,r39,0.0014131569371396,psi39,0.000183716583538,wheel_angle39,0.0009293154940223,-0.0009565976163083146,-1.7188148143313672e-05,8.504649203118062,-0.12093256057469494,8.504645311905417,-0.12093256055683124,-9.793997413659903e-05
39,fzf40,5291.97547703077,fzr40,4568.7084646706,ans40,0.0128730685746892,xdot40,28.0,ydot40,-0.0030059376145763,r40,0.0014846307003606,psi40,0.0001982041972376,wheel_angle40,0.0009535606351621,-0.0009866840054531022,-2.2518871801443743e-05,8.772132701533003,-0.15843852672969566,8.772128431498952,-0.1584385266895236,-0.00010735491439387186
40,fzf41,5291.97540091118,fzr41,4568.70854090349,ans41,0.0132001569145843,xdot41,28.0,ydot41,-0.0032845533716528,r41,0.0015576882271626,psi41,0.000213414476739,wheel_angle41,0.0009777894010803,-0.0010172104512716316,-2.8294715801312677e-05,9.043528511941114,-0.19907627700559702,9.04352383319471,-0.19907627692590768,-0.00011730547702096498
41,fzf42,5291.97531649125,fzr42,4568.70862545383,ans42,0.0135270185719941,xdot42,28.0,ydot42,-0.0035784883344936,r42,0.0016323183762478,psi42,0.0002293632038373,wheel_angle42,0.0010020013757032,-0.0010481885859451574,-3.452780826048588e-05,9.318940048067395,-0.24293114294325466,9.318934928711355,-0.2429311427984471,-0.00012780315410751232
42,fzf43,5291.97522315328,fzr43,4568.70871894124,ans43,0.0138536479338174,xdot43,28.0,ydot43,-0.0038880586390903,r43,0.001708510166093,psi43,0.0002460660497158,wheel_angle43,0.0010261961432457,-0.0010796298321819288,-4.123006644592192e-05,9.598468861100953,-0.29008697264317557,9.598463267111088,-0.29008697239661346,-0.00013885923621787845
43,fzf44,5291.97512025412,fzr44,4568.70882201089,ans44,0.0141800393909426,xdot44,28.0,ydot44,-0.0042135748686013,r44,0.0017862527718428,psi44,0.0002635385765284,wheel_angle44,0.0010503732882179,-0.0011115454065402164,-4.841320011909542e-05,9.882214669225208,-0.3406261543082705,9.882208564323726,-0.34062615390908424,-0.00015048481559981703
44,fzf45,5291.97500712505,fzr45,4568.7089353337,ans45,0.0145061873383433,xdot45,28.0,ydot45,-0.0045553421416086,r45,0.0018655355222592,psi45,0.0002817962389514,wheel_angle45,0.0010745323954328,-0.0011439463226867697,-5.6088714815530595e-05,10.170275386573667,-0.39462963932561135,10.170268732096138,-0.39462963870487,-0.00016269078933635323
45,fzf46,5291.97488307166,fzr46,4568.70905960644,ans46,0.014832086175175,xdot46,28.0,ydot46,-0.0049136601988146,r46,0.001946347896725,psi46,0.000300854385704,wheel_angle46,0.0010986730500129,-0.0011768433945892384,-6.426791505951365e-05,10.462747151598066,-0.45217696489260245,10.462739906353791,-0.4521769639587745,-0.0001754878624419377
46,fzf47,5291.97474737364,fzr47,4568.70919555191,ans47,0.015157730304871,xdot47,28.0,ydot47,-0.0052888234882076,r47,0.0020286795223002,psi47,0.0003207282610402,wheel_angle47,0.0011227948373978,-0.0012102472396452756,-7.296190751461757e-05,10.759724354872839,-0.5133462761920435,10.75971647499838,-0.5133462748256595,-0.00018888655090389846
